Date,Country,Segment,Driver,SHAP_Value_monthly_USD
202604,US,Defense,IPB52300S_diff,-5714893.96
202604,US,Defense,FDEFX_diff,-24102178.71
202604,US,Defense,ADEFNO_lag_1,11590772.62
202604,US,Defense,ADEFNO_lag_3,27148090.3
202604,US,Defense,ADEFNO_lag_6,-16592727.35
202604,US,Defense,ADEFNO_lag_9,13608643.16
202604,US,Defense,ADEFNO_lag_12,6174283.1
202604,US,Defense,ADEFNO_lag_18,3076523.85
202604,US,Defense,ADEFNO_lag_24,159766.29
202604,US,Defense,ADEFNO_diff_lag_1,-7884665.7
202604,US,Defense,ADEFNO_diff_lag_3,-2576180.89
202604,US,Defense,IPB52300S_diff_lag_1,-6978567.07
202604,US,Defense,IPB52300S_diff_lag_2,15716057.27
202604,US,Defense,IPB52300S_diff_lag_3,793178.02
202604,US,Defense,IPB52300S_diff_lag_4,2322320.83
202604,US,Defense,IPB52300S_diff_lag_5,-13829401.38
202604,US,Defense,IPB52300S_diff_lag_6,11373401.93
202604,US,Defense,fdefx_lag_1,3499493281.05
202604,US,Defense,fdefx_lag_2,2266357421.88
202604,US,Defense,fdefx_lag_3,4294425328.57
202604,US,Defense,fdefx_lag_4,23062529.66
202604,US,Defense,fdefx_lag_5,64665834.11
202604,US,Defense,fdefx_lag_6,1168900092.44
202604,US,Defense,fdefx_rolling_3m_mean,1453872839.61
202604,US,Defense,fdefx_rolling_6m_mean,410136381.79
202604,US,Defense,fdefx_rolling_12m_mean,200010319.55
202604,US,Defense,month,-38795582.95
202604,US,Defense,quarter,-28373758.0
202604,US,Defense,is_q4,17134.47
202604,US,Defense,base_value,61127024332.68
202604,US,Defense,prediction,74921936035.16
202605,US,Defense,ADEFNO,7887113.22
202605,US,Defense,ADEFNO_diff,-6819754.84
202605,US,Defense,IPB52300S,466292897.86
202605,US,Defense,IPB52300S_diff,-6418526.79
202605,US,Defense,FDEFX_diff,-27017898.86
202605,US,Defense,ADEFNO_lag_1,12081609.42
202605,US,Defense,ADEFNO_lag_3,27473648.39
202605,US,Defense,ADEFNO_lag_6,-10448198.77
202605,US,Defense,ADEFNO_lag_9,14418218.28
202605,US,Defense,ADEFNO_lag_12,-197818.89
202605,US,Defense,ADEFNO_lag_18,5376071.98
202605,US,Defense,ADEFNO_lag_24,362448.86
202605,US,Defense,ADEFNO_diff_lag_1,-9077982.98
202605,US,Defense,ADEFNO_diff_lag_3,-4242976.51
202605,US,Defense,IPB52300S_diff_lag_1,-6663563.97
202605,US,Defense,IPB52300S_diff_lag_2,15381358.56
202605,US,Defense,IPB52300S_diff_lag_3,639452.48
202605,US,Defense,IPB52300S_diff_lag_4,3538775.57
202605,US,Defense,IPB52300S_diff_lag_5,8575577.29
