date,ADEFNO,ADEFNO_diff,IPB52300S,IPB52300S_diff,FDEFX,FDEFX_diff
2006-05,6877,-814.0,83.2512,-0.43420000000000414,639.956,0.0
2006-06,10762,3885.0,84.0647,0.8135000000000048,639.956,0.0
2006-07,7115,-3647.0,85.7329,1.6681999999999988,632.375,-7.581000000000017
2006-08,8478,1363.0,85.97,0.2370999999999981,632.375,0.0
2006-09,13400,4922.0,87.1641,1.194100000000006,632.375,0.0
2006-10,6669,-6731.0,88.3942,1.230099999999993,655.208,22.83299999999997
2006-11,11292,4623.0,90.2576,1.8633999999999986,655.208,0.0
2006-12,8105,-3187.0,92.0973,1.8397000000000077,655.208,0.0
2007-01,10897,2792.0,94.4848,2.387500000000003,654.605,-0.6029999999999518
2007-02,7674,-3223.0,95.4596,0.9747999999999877,654.605,0.0
2007-03,5657,-2017.0,94.5244,-0.9351999999999947,654.605,0.0
2007-04,7836,2179.0,97.0306,2.506200000000007,674.082,19.476999999999975
2007-05,8684,848.0,99.2812,2.2505999999999915,674.082,0.0
2007-06,5852,-2832.0,102.6352,3.353999999999999,674.082,0.0
2007-07,9255,3403.0,103.983,1.3478000000000065,684.421,10.339000000000055
2007-08,12048,2793.0,105.7156,1.7325999999999908,684.421,0.0
2007-09,6414,-5634.0,108.2199,2.5043000000000006,684.421,0.0
2007-10,11172,4758.0,108.7813,0.5614000000000061,703.947,19.525999999999954
2007-11,5459,-5713.0,110.951,2.1696999999999917,703.947,0.0
2007-12,13727,8268.0,111.5536,0.6026000000000096,703.947,0.0
2008-01,10396,-3331.0,112.3767,0.8230999999999966,721.214,17.267000000000053
2008-02,10509,113.0,111.9979,-0.37879999999999825,721.214,0.0
2008-03,9735,-774.0,112.3105,0.3126000000000033,721.214,0.0
2008-04,9496,-239.0,112.384,0.07349999999999568,742.246,21.031999999999925
2008-05,10224,728.0,111.9095,-0.47450000000000614,742.246,0.0
2008-06,10722,498.0,112.96,1.0504999999999995,742.246,0.0
2008-07,9520,-1202.0,112.0735,-0.8864999999999981,766.263,24.017000000000053
2008-08,10154,634.0,111.6868,-0.3866999999999905,766.263,0.0
2008-09,14880,4726.0,109.0542,-2.6326000000000107,766.263,0.0
2008-10,8724,-6156.0,109.1933,0.1390999999999991,771.619,5.3559999999999945
2008-11,7760,-964.0,108.6764,-0.5168999999999926,771.619,0.0
2008-12,16891,9131.0,107.9088,-0.7676000000000016,771.619,0.0
2009-01,5261,-11630.0,107.2089,-0.6998999999999995,765.428,-6.191000000000031
2009-02,8280,3019.0,106.493,-0.7159000000000049,765.428,0.0
2009-03,8180,-100.0,104.603,-1.8900000000000006,765.428,0.0
2009-04,11431,3251.0,103.8735,-0.7294999999999874,782.914,17.48599999999999
2009-05,10679,-752.0,103.9549,0.08139999999998793,782.914,0.0
2009-06,7139,-3540.0,104.2872,0.3323000000000036,782.914,0.0
2009-07,8436,1297.0,105.9523,1.6650999999999954,792.801,9.887000000000057
2009-08,8012,-424.0,106.8922,0.9399000000000086,792.801,0.0
2009-09,9294,1282.0,108.1062,1.2139999999999986,792.801,0.0
2009-10,8702,-592.0,107.3209,-0.7853000000000065,809.117,16.315999999999917
2009-11,7703,-999.0,107.5359,0.2150000000000034,809.117,0.0
2009-12,8876,1173.0,108.0429,0.507000000000005,809.117,0.0
2010-01,12770,3894.0,110.1718,2.1289000000000016,817.507,8.389999999999986
2010-02,12430,-340.0,111.1719,1.000099999999989,817.507,0.0
2010-03,12797,367.0,114.1262,2.9543000000000035,817.507,0.0
2010-04,11609,-1188.0,115.2268,1.1006,828.047,10.540000000000077
2010-05,11818,209.0,115.4397,0.21290000000000475,828.047,0.0
2010-06,9691,-2127.0,115.3352,-0.10450000000000159,828.047,0.0
2010-07,11166,1475.0,117.3255,1.9903000000000048,828.9,0.8529999999999518
2010-08,10888,-278.0,117.4454,0.11990000000000123,828.9,0.0
2010-09,12406,1518.0,115.7815,-1.6639000000000124,828.9,0.0
2010-10,9685,-2721.0,113.8311,-1.9503999999999877,837.429,8.528999999999996
2010-11,12332,2647.0,113.0624,-0.7687000000000097,837.429,0.0
2010-12,10863,-1469.0,112.4577,-0.604699999999994,837.429,0.0
2011-01,13931,3068.0,112.085,-0.3727000000000089,831.587,-5.8419999999999845
2011-02,10959,-2972.0,111.3092,-0.7757999999999896,831.587,0.0
2011-03,12676,1717.0,110.6488,-0.6604000000000099,831.587,0.0
2011-04,12936,260.0,110.0297,-0.6190999999999889,843.03,11.442999999999984
2011-05,12331,-605.0,109.9053,-0.1244000000000085,843.03,0.0
2011-06,10931,-1400.0,109.193,-0.712299999999999,843.03,0.0
2011-07,10253,-678.0,109.8343,0.6413000000000011,834.975,-8.05499999999995
2011-08,12413,2160.0,110.5732,0.738900000000001,834.975,0.0
2011-09,10205,-2208.0,110.4417,-0.13150000000000261,834.975,0.0
2011-10,9229,-976.0,111.591,1.1492999999999967,826.319,-8.656000000000063
2011-11,9624,395.0,113.165,1.5740000000000123,826.319,0.0
2011-12,7237,-2387.0,112.7905,-0.3745000000000118,826.319,0.0
2012-01,8494,1257.0,113.1914,0.40090000000000714,824.076,-2.242999999999938
