date,Product,net_value_usd,de_orders_index_lag_1,de_orders_index_lag_2,de_orders_index_lag_3,de_orders_index_lag_4,de_orders_index_lag_5,de_orders_index_lag_6,de_production_index_diff_lag_1,de_production_index_diff_lag_2,de_production_index_diff_lag_3,de_production_index_diff_lag_4,de_production_index_diff_lag_5,de_production_index_diff_lag_6,us_durable_goods_orders_musd_diff_lag_1,us_durable_goods_orders_musd_diff_lag_2,us_durable_goods_orders_musd_diff_lag_3,us_durable_goods_orders_musd_diff_lag_4,us_durable_goods_orders_musd_diff_lag_5,us_durable_goods_orders_musd_diff_lag_6,us_production_index_diff_lag_1,us_production_index_diff_lag_2,us_production_index_diff_lag_3,us_production_index_diff_lag_4,us_production_index_diff_lag_5,us_production_index_diff_lag_6,month,quarter,year,is_q4,revenue_lag_1,revenue_lag_2,revenue_lag_3,revenue_rolling_3m_mean,revenue_rolling_3m_std,revenue_rolling_6m_mean,revenue_rolling_6m_std
2023-04-01,Accessories,-533.04,86.9,91.7,86.9,93.0,89.2,90.6,-2.5,2.0,2.200000000000003,-2.700000000000003,0.3999999999999915,-0.7999999999999972,8577.0,-8181.0,-4484.0,14263.0,-7976.0,4641.0,0.37890000000000157,0.1366000000000014,0.738599999999991,-1.1888000000000005,-0.29769999999999186,-0.03889999999999816,4,2,2023,0,2882.58,-246.35,-1236.25,466.66,2149.9947877378686,1164.9766666666667,2184.082299874862
2023-05-01,Accessories,22412.47,86.3,86.9,91.7,86.9,93.0,89.2,-0.3999999999999915,-2.5,2.0,2.200000000000003,-2.700000000000003,0.3999999999999915,898.0,8577.0,-8181.0,-4484.0,14263.0,-7976.0,0.2325000000000017,0.37890000000000157,0.1366000000000014,0.738599999999991,-1.1888000000000005,-0.29769999999999186,5,2,2023,0,-533.04,2882.58,-246.35,701.0633333333334,1894.6791322631216,764.6833333333334,2248.451683622903
2023-06-01,Accessories,1611.64,92.1,86.3,86.9,91.7,86.9,93.0,1.5,-0.3999999999999915,-2.5,2.0,2.200000000000003,-2.700000000000003,-461.0,898.0,8577.0,-8181.0,-4484.0,14263.0,-0.32439999999999714,0.2325000000000017,0.37890000000000157,0.1366000000000014,0.738599999999991,-1.1888000000000005,6,2,2023,0,22412.47,-533.04,2882.58,8254.003333333334,12379.953503928573,4592.77,8991.490652062093
2023-07-01,Accessories,19051.95,92.9,92.1,86.3,86.9,91.7,86.9,-2.4000000000000057,1.5,-0.3999999999999915,-2.5,2.0,2.200000000000003,14264.0,-461.0,898.0,8577.0,-8181.0,-4484.0,-0.8089999999999975,-0.32439999999999714,0.2325000000000017,0.37890000000000157,0.1366000000000014,0.738599999999991,7,3,2023,0,1611.64,22412.47,-533.04,7830.356666666667,12673.927371783118,4148.508333333334,9075.658302548452
2023-08-01,Accessories,-2063.43,84.0,92.9,92.1,86.3,86.9,91.7,-0.5,-2.4000000000000057,1.5,-0.3999999999999915,-2.5,2.0,-10693.0,14264.0,-461.0,898.0,8577.0,-8181.0,0.7870999999999952,-0.8089999999999975,-0.32439999999999714,0.2325000000000017,0.37890000000000157,0.1366000000000014,8,3,2023,0,19051.95,1611.64,22412.47,14358.686666666666,11166.408227771066,7529.875,10357.151887654732
2023-09-01,Accessories,1761.11,86.4,84.0,92.9,92.1,86.3,86.9,-0.29999999999999716,-0.5,-2.4000000000000057,1.5,-0.3999999999999915,-2.5,-4150.0,-10693.0,14264.0,-461.0,898.0,8577.0,-0.06740000000000634,0.7870999999999952,-0.8089999999999975,-0.32439999999999714,0.2325000000000017,0.37890000000000157,9,3,2023,0,-2063.43,19051.95,1611.64,6200.053333333333,11280.734498437294,7227.028333333335,10652.365981988069
2023-10-01,Accessories,3351.46,82.4,86.4,84.0,92.9,92.1,86.3,-0.7000000000000028,-0.29999999999999716,-0.5,-2.4000000000000057,1.5,-0.3999999999999915,9101.0,-4150.0,-10693.0,14264.0,-461.0,898.0,0.18180000000000973,-0.06740000000000634,0.7870999999999952,-0.8089999999999975,-0.32439999999999714,0.2325000000000017,10,4,2023,1,1761.11,-2063.43,19051.95,6249.876666666667,11250.62610599665,7040.116666666666,10753.203440370067
2023-11-01,Accessories,-753.89,84.0,82.4,86.4,84.0,92.9,92.1,-0.5,-0.7000000000000028,-0.29999999999999716,-0.5,-2.4000000000000057,1.5,-12253.0,9101.0,-4150.0,-10693.0,14264.0,-461.0,-0.5521999999999991,0.18180000000000973,-0.06740000000000634,0.7870999999999952,-0.8089999999999975,-0.32439999999999714,11,4,2023,1,3351.46,1761.11,-2063.43,1016.3800000000001,2783.204180023437,7687.533333333334,10314.024599688844
2023-12-01,Accessories,3646.06,83.1,84.0,82.4,86.4,84.0,92.9,-0.29999999999999716,-0.5,-0.7000000000000028,-0.29999999999999716,-0.5,-2.4000000000000057,12594.0,-12253.0,9101.0,-4150.0,-10693.0,14264.0,0.394999999999996,-0.5521999999999991,0.18180000000000973,-0.06740000000000634,0.7870999999999952,-0.8089999999999975,12,4,2023,1,-753.89,3351.46,1761.11,1452.8933333333332,2069.9571954108787,3826.4733333333334,7705.617163193784
2024-01-01,Accessories,1177.75,91.7,83.1,84.0,82.4,86.4,84.0,-1.7000000000000028,-0.29999999999999716,-0.5,-0.7000000000000028,-0.29999999999999716,-0.5,5754.0,12594.0,-12253.0,9101.0,-4150.0,-10693.0,-0.26080000000000325,0.394999999999996,-0.5521999999999991,0.18180000000000973,-0.06740000000000634,0.7870999999999952,1,1,2024,0,3646.06,-753.89,3351.46,2081.21,2459.683170146094,4165.543333333334,7633.084970253287
